Model,F1_Macro,F1_Hate,Precision_Hate,Recall_Hate,PR_AUC,ROC_AUC,MCC,Brier,Time_Minutes,Latency_p50_ms,Latency_p95_ms,Throughput,Parameters_M,F1_per_Minute,F1_per_10M_Params
bertweet,0.8937310421468184,0.8023774145616642,0.8035714285714286,0.8011869436201781,0.8778906601632184,,0.7874631251817302,0.025185954966370414,26.35508226553599,9.023547172546387,278.9210200309753,199.7594107057759,134.901506,0.033911145984754996,0.06625063490001501
bertweet_finetuned_weighted,0.8938088259241166,0.8028985507246377,0.7847025495750708,0.8219584569732937,0.8810238901532903,,0.7878724605420436,0.026091209076470973,26.38911613623301,9.150505065917969,29.070055484771725,198.20364151293177,134.901506,0.0338703585716875,0.06625640086806121
bertweet_off_the_shelf,0.5741065689969529,0.2722063037249284,0.1794145420207743,0.5637982195845698,0.15755197998298354,,0.22730252710069304,0.19077300996531918,0.6825139840443929,8.573412895202637,9.974551200866697,128.20900869859835,135.0,0.8411645510835587,0.04252641251829281
svm,0.8566206081651354,0.7304347826086957,0.8823529411764706,0.6231454005934718,0.7754610115560521,,0.7260170294696515,0.02658556666649487,0.010704580942789714,0.33295154571533203,0.5370497703552245,21738.67794466731,0.02,80.02374055960868,428.3103040825677
tw_roberta_hate_finetuned,0.8941468168952781,0.80248833592535,0.8431372549019608,0.7655786350148368,0.8934231045107939,,0.7893833473409076,0.02400281414548309,13.046830232938131,10.100960731506348,32.43278264999389,154.90508098005043,124.64717,0.06853364387603572,0.07173422524516826
tw_roberta_hate_finetuned_weighted,0.9216777353241037,0.8541033434650456,0.8753894080996885,0.8338278931750742,0.925268980206875,,0.8436498321797092,0.01776214719090561,19.2726038813591,9.543299674987793,29.901194572448727,167.6857146603783,124.64717,0.04782320754361435,0.0739429331066324
tw_roberta_hate_off_the_shelf,0.5906578657865786,0.224,0.34355828220858897,0.1661721068249258,0.23656842604614037,,0.2005468395979537,0.0751444873504401,0.0,9.441494941711426,30.052256584167438,174.2135455710268,124.64717,,0.04738638396576341
